"","id","tddist_f","dddist_f","tddist_s","dddist_s","tddist_o","dddist_o","n_features1","n_features2","n_features3","n_features4","n_strokes1","n_strokes2","n_strokes3","n_strokes4","total_features","total_strokes"
"1",11,4.34,5.05,2.1,2.16,4,5,0,10,7,14,0,3,0,1,31,8
"2",12,4.19,5.2,1.96,2.29,4.33,4.67,0,12,7,14,0,2,1,1,33,8
"3",13,4.46,4.93,2.29,1.96,5,4,1,8,6,14,2,1,1,1,29,6
"4",14,5.79,3.6,2.16,2.1,4.67,4.33,15,6,1,14,1,2,1,1,36,7
"5",21,4.95,5.02,0.67,1,4,4.33,8,4,9,16,0,0,0,4,37,8
"6",22,6.21,3.77,0.67,1,4,4.33,18,4,0,16,0,1,0,4,38,8
"7",23,4.31,5.66,0.67,1,4.33,4,0,9,9,16,0,0,0,4,34,7
"8",24,4.48,5.5,0.67,1,4.33,4,1,9,9,16,0,1,0,4,35,7
"9",31,4.83,4.83,2.52,1.9,5.33,5.33,0,14,0,20,0,4,1,0,34,8
"10",32,4.83,4.83,2.14,2.28,5.33,5.33,0,11,0,20,0,4,4,0,31,8
"11",33,4.83,4.83,2.02,2.39,5.33,5.33,0,26,0,20,0,1,4,0,46,8
"12",34,4.83,4.83,2.15,2.27,5.33,5.33,0,23,0,20,0,1,3,0,43,8
"13",41,6.2,5.66,1.9,1.75,6,5.33,4,19,3,22,0,1,0,3,48,8
"14",42,5.89,5.98,1.75,1.9,5.33,6,0,17,6,22,0,1,1,3,45,9
"15",43,5.89,5.98,1.9,1.75,6.33,5,0,35,3,22,1,3,1,3,60,10
"16",44,5.75,6.12,1.75,1.9,5,6.33,0,33,6,22,0,3,1,3,61,10
"17",51,4.04,4.41,2.28,2.55,4,4.67,0,5,3,28,0,3,1,1,36,6
"18",52,4.35,4.1,2.55,2.28,4.67,4,3,3,2,28,2,1,1,1,36,5
"19",53,4.06,4.39,2.28,2.55,4,4.67,0,18,3,28,0,5,1,1,49,7
"20",54,4.44,4.01,2.55,2.28,4.67,4,3,16,1,28,1,3,0,1,48,6
"21",61,7.61,5.16,2,2,7,5.33,22,5,3,5,2,1,1,2,35,6
"22",62,5.73,7.04,1.33,2,5.67,6.67,1,29,14,5,0,1,1,2,49,10
"23",63,6.34,6.43,2,2,6.33,6,4,3,12,5,1,1,0,2,24,6
"24",64,5.86,6.92,1.33,2,5.67,6.67,2,29,13,5,0,1,1,2,49,9
"25",71,5.34,7.47,0.94,1.41,3.33,5,1,13,18,2,0,2,0,4,34,7
"26",72,8.96,3.84,0.94,1.41,5.67,2.67,50,0,0,2,0,2,0,4,52,11
"27",73,5.45,7.36,0.94,1.41,3.33,5,2,10,18,2,0,0,0,4,32,6
"28",74,5.86,6.94,0.94,1.41,4.33,4,6,5,18,2,0,0,0,4,31,6
"29",81,4.88,4.71,1.28,1.58,4.33,5,1,13,3,35,0,0,1,4,52,9
"30",82,4.57,5.02,1.47,1.38,4.33,5,0,13,7,35,1,1,1,4,55,9
"31",83,4.93,4.66,1.24,1.61,5,4.33,3,14,5,35,0,1,1,4,57,11
"32",84,4.8,4.78,1.72,1.14,5,4.33,2,12,6,35,1,0,0,4,55,9
"33",91,4.27,5.01,1.47,1.79,4,4.67,3,4,25,21,0,1,2,3,53,8
"34",92,4.27,5.01,1.66,1.61,4.67,4,5,4,27,21,1,1,2,3,57,9
"35",93,4.01,5.27,1.52,1.75,3.33,5.33,0,2,27,21,0,1,2,3,50,8
